contact_id	probe_id
	Neuropixel-Imec
1	Neuropixel-Imec
2	Neuropixel-Imec
3	Neuropixel-Imec
4	Neuropixel-Imec
5	Neuropixel-Imec
6	Neuropixel-Imec
7	Neuropixel-Imec
8	Neuropixel-Imec
9	Neuropixel-Imec
10	Neuropixel-Imec
11	Neuropixel-Imec
12	Neuropixel-Imec
13	Neuropixel-Imec
14	Neuropixel-Imec
15	Neuropixel-Imec
16	Neuropixel-Imec
17	Neuropixel-Imec
18	Neuropixel-Imec
19	Neuropixel-Imec
20	Neuropixel-Imec
21	Neuropixel-Imec
22	Neuropixel-Imec
23	Neuropixel-Imec
24	Neuropixel-Imec
25	Neuropixel-Imec
26	Neuropixel-Imec
27	Neuropixel-Imec
28	Neuropixel-Imec
29	Neuropixel-Imec
30	Neuropixel-Imec
31	Neuropixel-Imec
32	Neuropixel-Imec
33	Neuropixel-Imec
34	Neuropixel-Imec
35	Neuropixel-Imec
36	Neuropixel-Imec
37	Neuropixel-Imec
38	Neuropixel-Imec
39	Neuropixel-Imec
40	Neuropixel-Imec
41	Neuropixel-Imec
42	Neuropixel-Imec
43	Neuropixel-Imec
44	Neuropixel-Imec
45	Neuropixel-Imec
46	Neuropixel-Imec
47	Neuropixel-Imec
48	Neuropixel-Imec
49	Neuropixel-Imec
50	Neuropixel-Imec
51	Neuropixel-Imec
52	Neuropixel-Imec
53	Neuropixel-Imec
54	Neuropixel-Imec
55	Neuropixel-Imec
56	Neuropixel-Imec
57	Neuropixel-Imec
58	Neuropixel-Imec
59	Neuropixel-Imec
60	Neuropixel-Imec
61	Neuropixel-Imec
62	Neuropixel-Imec
63	Neuropixel-Imec
64	Neuropixel-Imec
65	Neuropixel-Imec
66	Neuropixel-Imec
67	Neuropixel-Imec
68	Neuropixel-Imec
69	Neuropixel-Imec
70	Neuropixel-Imec
71	Neuropixel-Imec
72	Neuropixel-Imec
73	Neuropixel-Imec
74	Neuropixel-Imec
75	Neuropixel-Imec
76	Neuropixel-Imec
77	Neuropixel-Imec
