channel_id	channel_name	sampling_frequency	dtype	unit	gain	offset	stream_id	type
AP0	imec1.ap#AP0	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP1	imec1.ap#AP1	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP2	imec1.ap#AP2	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP3	imec1.ap#AP3	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP4	imec1.ap#AP4	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP5	imec1.ap#AP5	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP6	imec1.ap#AP6	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP7	imec1.ap#AP7	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP8	imec1.ap#AP8	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP9	imec1.ap#AP9	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP10	imec1.ap#AP10	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP11	imec1.ap#AP11	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP12	imec1.ap#AP12	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP13	imec1.ap#AP13	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP14	imec1.ap#AP14	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP15	imec1.ap#AP15	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP16	imec1.ap#AP16	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP17	imec1.ap#AP17	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP18	imec1.ap#AP18	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP19	imec1.ap#AP19	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP20	imec1.ap#AP20	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP21	imec1.ap#AP21	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP22	imec1.ap#AP22	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP23	imec1.ap#AP23	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP24	imec1.ap#AP24	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP25	imec1.ap#AP25	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP26	imec1.ap#AP26	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP27	imec1.ap#AP27	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP28	imec1.ap#AP28	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP29	imec1.ap#AP29	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP30	imec1.ap#AP30	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP31	imec1.ap#AP31	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP32	imec1.ap#AP32	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP33	imec1.ap#AP33	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP34	imec1.ap#AP34	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP35	imec1.ap#AP35	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP36	imec1.ap#AP36	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP37	imec1.ap#AP37	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP38	imec1.ap#AP38	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP39	imec1.ap#AP39	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP40	imec1.ap#AP40	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP41	imec1.ap#AP41	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP42	imec1.ap#AP42	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP43	imec1.ap#AP43	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP44	imec1.ap#AP44	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP45	imec1.ap#AP45	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP46	imec1.ap#AP46	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP47	imec1.ap#AP47	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP48	imec1.ap#AP48	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP49	imec1.ap#AP49	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP50	imec1.ap#AP50	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP51	imec1.ap#AP51	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP52	imec1.ap#AP52	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP53	imec1.ap#AP53	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP54	imec1.ap#AP54	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP55	imec1.ap#AP55	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP56	imec1.ap#AP56	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP57	imec1.ap#AP57	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP58	imec1.ap#AP58	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
AP59	imec1.ap#AP59	30000.0	int16	uV	0.762939453125	0.0	imec1.ap	EXT
